name,position,team,games,pass_att,pass_cmp,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,rush_first_downs,rec_first_downs,fumbles_lost,two_point,fantasy_points
Puka Nacua,WR,LA,16.0,0.3,0.2,1.5,0.0,0.0,8.6,51.3,0.3,144.9,105.2,1381.8,7.5,2.6,64.8,0.9,0.2,762.0
Brock Purdy,QB,SF,16.0,519.8,340.5,3927.6,28.8,14.2,57.7,257.1,3.3,0.3,0.2,1.7,0.0,23.5,0.1,0.3,0.2,394.0
Drake Maye,QB,NE,16.0,508.0,332.7,3897.8,26.5,8.9,77.4,358.7,3.4,0.7,0.5,3.9,0.0,28.0,0.2,0.5,0.2,417.0
Josh Allen,QB,BUF,16.0,488.1,319.7,3517.7,23.9,9.5,83.0,407.0,7.0,0.2,0.2,1.3,0.0,34.0,0.1,0.5,0.2,458.0
Jaxon Smith-Njigba,WR,SEA,16.0,0.4,0.2,2.1,0.1,0.0,5.3,28.5,0.2,132.9,93.1,1281.7,7.1,1.5,58.5,0.8,0.2,702.0
Lamar Jackson,QB,BAL,16.0,455.7,298.5,3454.7,27.4,7.9,79.4,414.8,3.2,0.3,0.2,1.4,0.0,27.5,0.1,0.5,0.2,429.0
Bijan Robinson,RB,ATL,16.0,0.2,0.1,0.8,0.1,0.0,248.1,1218.2,7.3,73.6,57.0,506.7,2.6,57.2,21.8,1.9,0.2,648.0
Trey McBride,TE,AZ,16.0,0.2,0.1,0.0,0.0,0.0,0.5,1.4,0.0,122.6,90.6,906.0,6.6,0.3,46.6,0.7,0.2,717.0
Ja'Marr Chase,WR,CIN,16.0,0.3,0.2,1.7,0.1,0.0,3.8,20.3,0.1,153.7,103.4,1238.7,8.0,1.0,61.3,0.9,0.2,763.0
Trevor Lawrence,QB,JAX,16.0,544.1,356.4,3615.8,24.4,11.2,65.9,290.1,4.5,0.3,0.2,1.4,0.0,27.6,0.1,0.4,0.2,390.0
Jalen Hurts,QB,PHI,16.0,496.1,324.9,3330.3,23.7,7.5,94.5,390.7,6.2,0.3,0.2,1.4,0.0,36.0,0.1,0.6,0.2,392.0
Joe Burrow,QB,CIN,16.0,540.3,353.9,3580.8,29.7,9.1,42.7,178.5,1.9,0.3,0.2,1.7,0.0,15.0,0.1,0.3,0.2,395.0
Justin Herbert,QB,LAC,16.0,536.3,351.3,3571.3,23.8,10.2,68.7,350.6,2.7,0.3,0.2,1.7,0.0,25.4,0.1,0.4,0.2,380.0
Bo Nix,QB,DEN,16.0,562.2,368.2,3502.2,23.3,10.3,70.3,308.8,3.6,0.8,0.6,4.4,0.1,24.0,0.2,0.4,0.2,382.0
Jared Goff,QB,DET,16.0,502.3,329.0,3737.9,27.1,8.0,33.0,119.1,1.4,0.3,0.2,1.8,0.0,10.4,0.1,0.2,0.2,362.0
Jordan Love,QB,GB,16.0,506.5,331.7,3670.2,25.2,8.5,49.7,214.2,1.9,0.3,0.2,1.4,0.0,16.3,0.1,0.3,0.2,359.0
