name,position,team,games,pass_att,pass_cmp,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,targets,rec,rec_yds,rec_td,fumbles_lost,two_point
Joe Burrow,QB,CIN,17,620,406,4700,38,11,45,180,2,0,0,0,0,5.0,0.4
Josh Allen,QB,BUF,17,560,367,4100,30,11,105,560,10,0,0,0,0,4.5,0.4
Lamar Jackson,QB,BAL,17,480,314,3900,32,7,140,800,5,0,0,0,0,3.8,0.4
Jayden Daniels,QB,WAS,17,530,347,4000,28,9,130,750,6,0,0,0,0,4.2,0.4
Patrick Mahomes,QB,KC,17,590,386,4300,30,10,65,320,3,0,0,0,0,4.7,0.4
Jalen Hurts,QB,PHI,17,480,314,3500,24,9,140,620,12,0,0,0,0,3.8,0.4
Jared Goff,QB,DET,17,550,360,4200,30,11,25,60,1,0,0,0,0,4.4,0.4
Justin Herbert,QB,LAC,17,560,367,4000,26,10,55,260,3,0,0,0,0,4.5,0.4
C.J. Stroud,QB,HOU,17,550,360,4100,27,11,45,220,3,0,0,0,0,4.4,0.4
Baker Mayfield,QB,TB,17,560,367,4100,30,13,50,220,3,0,0,0,0,4.5,0.4
Dak Prescott,QB,DAL,17,570,373,4200,29,11,35,130,2,0,0,0,0,4.6,0.4
Bo Nix,QB,DEN,17,540,354,3800,25,11,85,420,5,0,0,0,0,4.3,0.4
Drake Maye,QB,NE,17,545,357,3950,26,11,70,380,4,0,0,0,0,4.4,0.4
Caleb Williams,QB,CHI,17,540,354,3900,26,12,70,350,4,0,0,0,0,4.3,0.4
Brock Purdy,QB,SF,17,520,341,4000,27,10,45,200,2,0,0,0,0,4.2,0.4
Kyler Murray,QB,ARI,17,520,341,3700,23,10,85,480,5,0,0,0,0,4.2,0.4
Matthew Stafford,QB,LAR,17,560,367,4000,28,11,25,60,1,0,0,0,0,4.5,0.4
Trevor Lawrence,QB,JAX,17,540,354,3800,24,11,55,250,3,0,0,0,0,4.3,0.4
Tua Tagovailoa,QB,MIA,17,520,341,3800,25,11,25,50,1,0,0,0,0,4.2,0.4
Michael Penix Jr.,QB,ATL,17,540,354,3800,24,12,40,150,2,0,0,0,0,4.3,0.4
J.J. McCarthy,QB,MIN,17,500,328,3500,23,12,55,250,3,0,0,0,0,4.0,0.4
Justin Fields,QB,NYJ,17,440,288,2900,18,9,120,650,6,0,0,0,0,3.5,0.4
Bijan Robinson,RB,ATL,17,0,0,0,0,0,300,1450,11,85,68,570,3,1.8,0.2
